ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,BIM ID
21,15,9,62.942373453466736,-8.99480165158627e-14,22.965879265091857,64.5827934009733,-9.520218948793404e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,18.44579107200866,0.45975083784819154,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398479
22,16,10,83.93974878155072,-1.5756059634212747e-13,22.965879265091857,82.29932883404415,-1.5225030371634488e-13,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,18.44579107200866,0.4597508378481865,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398469
23,13,11,39.1157726870094,-1.3225191822818562e-14,22.965879265091857,49.614460351051385,-4.685189884407464e-14,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633503,0.35252081264389284,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398267
24,14,11,60.11314801509338,-8.083777164908333e-14,22.965879265091857,49.61446035105139,-4.685189884407465e-14,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633503,0.3525208126438954,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397131
25,15,12,62.942373453466736,-8.994801651586273e-14,22.965879265091857,73.44106111750872,-1.2357472353711882e-13,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633503,0.3525208126439081,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398478
26,16,12,83.93974878155072,-1.575605963421275e-13,22.965879265091857,73.44106111750874,-1.2357472353711882e-13,33.13648293963254,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633503,0.35252081264390756,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398468
27,17,13,49.61446035105138,-4.6851898844074614e-14,12.795275590551173,39.11577268700939,-1.3225191822818539e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633505,0.364474617120789,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398266
28,17,14,49.61446035105139,-4.6851898844074646e-14,12.795275590551173,60.11314801509338,-8.083777164908333e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633505,0.3644746171207946,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397085
29,18,15,73.44106111750871,-1.2357472353711877e-13,12.795275590551173,62.94237345346672,-8.994801651586269e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633505,0.3644746171207876,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398477
30,18,16,73.44106111750874,-1.2357472353711882e-13,12.795275590551173,83.93974878155073,-1.575605963421275e-13,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,14.617237145633505,0.36447461712083035,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398467
31,19,13,37.47535273950283,-7.9710188507473e-15,-1.5124812909761407e-15,39.1157726870094,-1.32251918228186e-14,22.96587926509186,W 250x17.9,Beam,AÇO ASTM - A572 GR50,23.024391154229328,0.5737994613108748,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398265
32,21,14,61.75356796259994,-8.614806427486593e-14,-3.4445092012735794e-15,60.11314801509337,-8.083777164908333e-14,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,23.024391154229328,0.5737994613108842,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397055
33,20,15,61.30195350596017,-8.469384354379147e-14,-1.5124812909761407e-15,62.942373453466736,-8.994801651586277e-14,22.96587926509186,W 250x17.9,Beam,AÇO ASTM - A572 GR50,23.024391154229328,0.5737994613108768,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398476
34,22,16,85.58016872905728,-1.628708889679101e-13,-3.4445092012735794e-15,83.93974878155072,-1.575605963421275e-13,22.965879265091857,W 250x17.9,Beam,AÇO ASTM - A572 GR50,23.024391154229328,0.5737994613110302,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398466
35,19,17,37.47535273950283,-7.971018850747325e-15,-1.251891961015112e-15,49.614460351051385,-4.6851898844074665e-14,12.795275590551174,W 250x17.9,Beam,AÇO ASTM - A572 GR50,17.637375401201584,0.42776624454286155,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398264
36,21,17,61.75356796259994,-8.614806427486593e-14,-3.1839198713125524e-15,49.614460351051385,-4.685189884407465e-14,12.795275590551173,W 250x17.9,Beam,AÇO ASTM - A572 GR50,17.637375401201584,0.4277662445428682,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1396883
37,20,18,61.30195350596017,-8.46938435437915e-14,-1.251891961015112e-15,73.44106111750872,-1.2357472353711882e-13,12.795275590551174,W 250x17.9,Beam,AÇO ASTM - A572 GR50,17.637375401201584,0.4277662445428153,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398475
38,22,18,85.58016872905726,-1.6287088896791012e-13,-3.1839198713125524e-15,73.44106111750872,-1.2357472353711882e-13,12.795275590551173,W 250x17.9,Beam,AÇO ASTM - A572 GR50,17.637375401201584,0.4277662445428398,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398465
